設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	会員ID
横浜市	医療・福祉	迅速	買物・飲食	便利です	移動・交通	便利	遊び・娯楽	普通	1231234771
横浜市	移動・交通	鉄道路線が充実している。どこにいくにも便利。	買物・飲食	店舗がたくさんある。	自然の恵み	自然が少ない。公園などが特に。	医療・福祉	子供の病院が少ない。遠い。	1226930387
横須賀市	自然景観	海も近く県立公園もあり、リラックスできるので。	住宅環境	比較的に安くすめているとおもうので	買物・飲食	近くに歩いていけるショップがありません	移動・交通	駅とかまでは歩くには遠いので	1233151099
川崎市	移動・交通	今居住している武蔵小杉はJR横須賀線、南武線、東急東横線、目黒線と選択の余地がたくさんあり、移動には非常に便利	買物・飲食	スーパーマーケットもたくさんあり、選択の余地が広い	遊び・娯楽	かなり発展した街なのに映画館がない。ライブハウスがない。	自然災害	台風である地域が浸水した際、エレベーターが止まったりと都市ならではの被害があった。##近くを流れている多摩川の整備がもっと必要かと。	1229140632
横須賀市	自然災害	横須賀市は神奈川県の中でも温暖なエリアで、例えば隣の横浜市などが雪の為、交通障害を起きている時でも、ほとんど雪が積もる事はなく、生活に支障をきたす事はない。また、台風被害も少なく、洪水なども起こる事はない。	住宅環境	横須賀は山がちな地形だが、自分のエリアは平坦地で電車の駅も近く、その周りには商業施設や病院、学校なども多くある。	移動・交通	山がちな地形なため、道路幅が狭いなど道路網が決定的に不足しているため、幹線道路は始終渋滞している。	デジタル生活	少し街中を離れると電波が届かない所が結構ある。	1224984627
横浜市	医療・福祉	病院おおい	買物・飲食	多い	移動・交通	便利	遊び・娯楽	検討	1231421276
横須賀市	買物・飲食	ある程度はあって不便はしてないから	移動・交通	ある程度なら簡単に行けるから	事故・犯罪	田舎だと不審者がでる	公共空間	老朽化が目立つ	1225128428
横須賀市	自然災害	特に大きな災害がないから。	自然景観	海も山もあるから。	住宅環境	URをたくさん増やして欲しい。	買物・飲食	近隣の他県のような安いスーパーを取り入れて欲しい。	1234403352
座間市	医療・福祉	家の目の前にクリニックがある	買物・飲食	スーパーにすぐ行ける	デジタル生活	全体的にアナログすぎる	自然災害	地震対策が出来ている気がしない	1230687146
座間市	医療・福祉	家の目の前にクリニックがある	買物・飲食	スーパーにすぐ行ける	デジタル生活	全体的にアナログすぎる	自然災害	地震対策が出来ている気がしない	1229859734
相模原市	自然の恵み	自然が豊かであること。	買物・飲食	お店がほどほどにあること。	事故・犯罪	犯罪を減らしてほしい。	医療・福祉	医療を充実させてほしい。	1230495203
小田原市	移動・交通	バスの運行充実している	買物・飲食	近くにショッピングモールがある	デジタル生活	デジタル化が遅い	子育て	他と比較し、サポートが小	1232133785
横浜市	買物・飲食	スーパーやコンビニなどお店が多い	移動・交通	駅やバス停が多い	医療・福祉	大きな病院が無い	遊び・娯楽	娯楽施設が少ない	1232308502
横浜市	医療・福祉	中程度の病院があり、いろんなクリニックも歩いていける範囲で存在す。るから	移動・交通	鉄道の駅やいろんな方面に行くバスもありバス停も近いから。	自然災害	地震や台風等で被害を受け時、避難場所が遠い事。	事故・犯罪	病院があるのに時々暴走族が大きい音でバイク運転をしている事。	1232788343
横須賀市	環境共生	公園が整備されている。	事故・犯罪	よくわからないけど、たぶん、米軍基地があっても沖縄程問題がおこらないので	デジタル生活	なんとなく	遊び・娯楽	面白い観光地が少ない	1233052076
愛川町	遊び・娯楽	娯楽	住宅環境	家	買物・飲食	高い	自然景観	少ない	1235282115
横浜市	買物・飲食	スーパーやコンビニや商店が多い	移動・交通	駅やバス停が多い	遊び・娯楽	娯楽施設が少ない	自然景観	自然があまりない	1234413759
横浜市	住宅環境	家賃やすい	自然の恵み	自然多め	遊び・娯楽	遊び場少ない	移動・交通	移動不便	1228197106
横浜市	自然災害	自然災害があまりないので。まわりでもあまりきかないので。	移動・交通	電車やバスなどが充実しているので。	子育て	中学校の給食をはやくしてほしい。遅れすぎ。	医療・福祉	子供の医療費の無償化が他の自治体と比べ著しく遅れている。	1233482802
横浜市	買物・飲食	スーパーやコンビニが多い	移動・交通	駅やバス停が多い	医療・福祉	大きな病院がない	遊び・娯楽	娯楽施設が少ない	1234413976
横浜市	住宅環境	青葉区ですが閑静な住宅街で子育てがしやすいです。今や子供は大きくなりましたが穏やかで引き続き住みたい場所です。	自然災害	地震が来ても地盤が強いせいかあまり揺れなく安心です。	移動・交通	人手不足のせいかと思いますがバスの便が減って困っています	初等・中等教育	もう少し補助を充実いただけるとありがたいです。	1233877106
横浜市	移動・交通	どこに行くのも公共交通機関で移動が出来るので、便利な所	遊び・娯楽	市外へ出なくても買いたい物が見つかるし、映画館等も充実していると思います。	医療・福祉	子供の医療助成などは他の市や県等より、対象年齢が狭いので	初等・中等教育	都内等と比べると設備（エアコン等）はまだまだ遅れていると思います。	1237042534
川崎市	移動・交通	都内に出やすい	買物・飲食	遠くまでいかなくても済む	住宅環境	建物相場が高い	事故・犯罪	凶悪犯罪がたまに起きる	1232471120
座間市	住宅環境	住むにあたって、住宅問題が全く無いので住み易いから	自然災害	自然災害が全く無いから	地域行政	役所内の各係がもっと住民に寄り添って親身に関わって欲しい	移動・交通	コミュニテーバスの1時間あたりの本数を増やし、利用料金を元との100円に戻して欲しい。##150円だと50円を用意するのが面倒だ。##もしくは、スマホ決算で乗れるようにしてほしい。	1228652305
横浜市	買物・飲食	いろいろ興味を引く情報や施設が有ります。	移動・交通	すぐに都心に行ける所です。	医療・福祉	近くに以外と総合病院がありません。	環境共生	まだ開拓途中の土地が多くあります。	1230489203
川崎市	移動・交通	都心に１時間以内で行ける	買物・飲食	物価が安い	自然災害	そこまでひどい被害にあったことが無い	事故・犯罪	最近増えてきているから何とか減らす方向に改善してほしい	1230833885
相模原市	自然景観	桜並木があり、毎年楽しんでいる。	住宅環境	比較的家賃が安い。	事故・犯罪	治安が悪化してきた	買物・飲食	良いスーパーマーケットがない	1232142728
横浜市	住宅環境	良かった	住宅環境	いい感じです	子育て	費用対効果	移動・交通	不便	1231421154
伊勢原市	自然景観	自然しかないから	医療・福祉	病院が多いから	移動・交通	移動が不便だから	買物・飲食	店が少ないから	1229042491
横浜市	遊び・娯楽	ショッピング、イベントに行きやすい	移動・交通	電車、バスが多い	子育て	手当が少ない	住宅環境	家が密集している	1232143224
愛川町	自然景観	静かで自然豊かで景観が良い	自然の恵み	水が綺麗なのでたべものが美味しく作れる	医療・福祉	病院が一つのしかなく、先生が一人しか常駐していない	移動・交通	駅がないのでバス会社のやりたい放題	1230813511
相模原市	移動・交通	各方向に鉄道があること	買物・飲食	いろいろあるため	事故・犯罪	無いことが良いため	自然景観	公園などが多いことが良いため	1230478123
横浜市	移動・交通	家の前がバス停##電車も複数線利用できる	買物・飲食	家の前にスーパーがある	医療・福祉	介護について不満が多い##役所も福祉施設、事務所も対応悪い	事故・犯罪	振り込め詐欺などが市内で一番多い	1231636791
鎌倉市	遊び・娯楽	観光地だから	移動・交通	鉄道が充実している	医療・福祉	整備されてないから	地域行政	まだまたま不十分だから	1232941456
