ラベル	満足度	文章	会員ID
移動・交通	満足	鉄道路線が充実している。どこにいくにも便利。	1226930387
自然景観	満足	海も近く県立公園もあり、リラックスできるので。	1233151099
移動・交通	満足	今居住している武蔵小杉はJR横須賀線、南武線、東急東横線、目黒線と選択の余地がたくさんあり、移動には非常に便利	1229140632
買物・飲食	満足	スーパーマーケットもたくさんあり、選択の余地が広い	1229140632
遊び・娯楽	不満	かなり発展した街なのに映画館がない。ライブハウスがない。	1229140632
自然災害	不満	台風である地域が浸水した際、エレベーターが止まったりと都市ならではの被害があった。##近くを流れている多摩川の整備がもっと必要かと。	1229140632
自然災害	満足	横須賀市は神奈川県の中でも温暖なエリアで、例えば隣の横浜市などが雪の為、交通障害を起きている時でも、ほとんど雪が積もる事はなく、生活に支障をきたす事はない。また、台風被害も少なく、洪水なども起こる事はない。	1224984627
住宅環境	満足	横須賀は山がちな地形だが、自分のエリアは平坦地で電車の駅も近く、その周りには商業施設や病院、学校なども多くある。	1224984627
移動・交通	不満	山がちな地形なため、道路幅が狭いなど道路網が決定的に不足しているため、幹線道路は始終渋滞している。	1224984627
デジタル生活	不満	少し街中を離れると電波が届かない所が結構ある。	1224984627
買物・飲食	不満	近隣の他県のような安いスーパーを取り入れて欲しい。	1234403352
医療・福祉	満足	中程度の病院があり、いろんなクリニックも歩いていける範囲で存在す。るから	1232788343
移動・交通	満足	鉄道の駅やいろんな方面に行くバスもありバス停も近いから。	1232788343
自然災害	不満	地震や台風等で被害を受け時、避難場所が遠い事。	1232788343
事故・犯罪	不満	病院があるのに時々暴走族が大きい音でバイク運転をしている事。	1232788343
事故・犯罪	満足	よくわからないけど、たぶん、米軍基地があっても沖縄程問題がおこらないので	1233052076
自然災害	満足	自然災害があまりないので。まわりでもあまりきかないので。	1233482802
子育て	不満	中学校の給食をはやくしてほしい。遅れすぎ。	1233482802
医療・福祉	不満	子供の医療費の無償化が他の自治体と比べ著しく遅れている。	1233482802
住宅環境	満足	青葉区ですが閑静な住宅街で子育てがしやすいです。今や子供は大きくなりましたが穏やかで引き続き住みたい場所です。	1233877106
自然災害	満足	地震が来ても地盤が強いせいかあまり揺れなく安心です。	1233877106
移動・交通	不満	人手不足のせいかと思いますがバスの便が減って困っています	1233877106
初等・中等教育	不満	もう少し補助を充実いただけるとありがたいです。	1233877106
移動・交通	満足	どこに行くのも公共交通機関で移動が出来るので、便利な所	1237042534
遊び・娯楽	満足	市外へ出なくても買いたい物が見つかるし、映画館等も充実していると思います。	1237042534
医療・福祉	不満	子供の医療助成などは他の市や県等より、対象年齢が狭いので	1237042534
初等・中等教育	不満	都内等と比べると設備（エアコン等）はまだまだ遅れていると思います。	1237042534
住宅環境	満足	住むにあたって、住宅問題が全く無いので住み易いから	1228652305
地域行政	不満	役所内の各係がもっと住民に寄り添って親身に関わって欲しい	1228652305
移動・交通	不満	コミュニテーバスの1時間あたりの本数を増やし、利用料金を元との100円に戻して欲しい。##150円だと50円を用意するのが面倒だ。##もしくは、スマホ決算で乗れるようにしてほしい。	1228652305
買物・飲食	満足	いろいろ興味を引く情報や施設が有ります。	1230489203
事故・犯罪	不満	最近増えてきているから何とか減らす方向に改善してほしい	1230833885
医療・福祉	不満	病院が一つのしかなく、先生が一人しか常駐していない	1230813511
移動・交通	満足	家の前がバス停##電車も複数線利用できる	1231636791
医療・福祉	不満	介護について不満が多い##役所も福祉施設、事務所も対応悪い	1231636791
住宅環境	満足	緑が多くて自然豊か。治安も良く住みやすい	1232807468
買物・飲食	満足	飲食店やスーパーなど沢山ある。選択肢が多いから楽しみも増える。	1232807468
事故・犯罪	不満	裕福な家庭が多い為詐欺被害などが多発しているらしいから	1232807468
自然の恵み	不満	農協さんのお店がもっと行きやすかったら良いのにと思う	1232807468
移動・交通	満足	家から至近距離に駅があり、どこに行くのにも便利だから。	1231392298
地域行政	不満	他地域と比べ、住民税が高いので、市民に割引やクーポンなど還元してほしい	1232526056
移動・交通	満足	2線使用できるので、交通災害があってもなんとかなる	1230523693
移動・交通	満足	横浜線最寄り駅前に住んでいて利便がかなり高いから	1235920805
買物・飲食	満足	家の近くにショッピングセンターなどが複数あるから	1230476512
移動・交通	満足	電車やバスのネットワークが充実しているから	1230476512
自然災害	不満	土砂崩れなどの可能性がある場所の対策を強化してほしい	1230476512
デジタル生活	不満	フリーWiFiのエリアを広げ、電波を強くしてほしい。	1230476512
移動・交通	満足	東横線・グリーンラインに加えて、新横浜線もできて、どの方面へも行きやすいから。	1230551168
買物・飲食	満足	チェーン店のものはほとんどあり、定番のスーパーもそろっているから。	1230551168
移動・交通	満足	電車の本数や路線が多く、飛行場もそれなりに近い。	1233911862
医療・福祉	満足	廻りに大小さまざまない医療機関多くある。	1233911862
買物・飲食	満足	公共交通機関を利用しなくても、日用品の買い物ができるお店が多い。	1228138677
医療・福祉	満足	病院が多く、複数の診療科目を集めた医療ビルもあり、もしものときに安心感がある。	1228138677
移動・交通	不満	坂が多く、高齢者には移動がきつい。自転車の移動も向かない。	1228138677
