ラベル	満足度	文章	会員ID
医療・福祉	1	迅速	1231234771
買物・飲食	1	便利です	1231234771
移動・交通	-1	便利	1231234771
遊び・娯楽	-1	普通	1231234771
移動・交通	1	鉄道路線が充実している。どこにいくにも便利。	1226930387
買物・飲食	1	店舗がたくさんある。	1226930387
自然の恵み	-1	自然が少ない。公園などが特に。	1226930387
医療・福祉	-1	子供の病院が少ない。遠い。	1226930387
自然景観	1	海も近く県立公園もあり、リラックスできるので。	1233151099
住宅環境	1	比較的に安くすめているとおもうので	1233151099
買物・飲食	-1	近くに歩いていけるショップがありません	1233151099
移動・交通	-1	駅とかまでは歩くには遠いので	1233151099
移動・交通	1	今居住している武蔵小杉はJR横須賀線、南武線、東急東横線、目黒線と選択の余地がたくさんあり、移動には非常に便利	1229140632
買物・飲食	1	スーパーマーケットもたくさんあり、選択の余地が広い	1229140632
遊び・娯楽	-1	かなり発展した街なのに映画館がない。ライブハウスがない。	1229140632
自然災害	-1	台風である地域が浸水した際、エレベーターが止まったりと都市ならではの被害があった。##近くを流れている多摩川の整備がもっと必要かと。	1229140632
自然災害	1	横須賀市は神奈川県の中でも温暖なエリアで、例えば隣の横浜市などが雪の為、交通障害を起きている時でも、ほとんど雪が積もる事はなく、生活に支障をきたす事はない。また、台風被害も少なく、洪水なども起こる事はない。	1224984627
住宅環境	1	横須賀は山がちな地形だが、自分のエリアは平坦地で電車の駅も近く、その周りには商業施設や病院、学校なども多くある。	1224984627
移動・交通	-1	山がちな地形なため、道路幅が狭いなど道路網が決定的に不足しているため、幹線道路は始終渋滞している。	1224984627
デジタル生活	-1	少し街中を離れると電波が届かない所が結構ある。	1224984627
医療・福祉	1	病院おおい	1231421276
買物・飲食	1	多い	1231421276
移動・交通	-1	便利	1231421276
遊び・娯楽	-1	検討	1231421276
買物・飲食	1	ある程度はあって不便はしてないから	1225128428
移動・交通	1	ある程度なら簡単に行けるから	1225128428
事故・犯罪	-1	田舎だと不審者がでる	1225128428
公共空間	-1	老朽化が目立つ	1225128428
自然災害	1	特に大きな災害がないから。	1234403352
自然景観	1	海も山もあるから。	1234403352
住宅環境	-1	URをたくさん増やして欲しい。	1234403352
買物・飲食	-1	近隣の他県のような安いスーパーを取り入れて欲しい。	1234403352
医療・福祉	1	家の目の前にクリニックがある	1230687146
買物・飲食	1	スーパーにすぐ行ける	1230687146
デジタル生活	-1	全体的にアナログすぎる	1230687146
自然災害	-1	地震対策が出来ている気がしない	1230687146
医療・福祉	1	家の目の前にクリニックがある	1229859734
買物・飲食	1	スーパーにすぐ行ける	1229859734
デジタル生活	-1	全体的にアナログすぎる	1229859734
自然災害	-1	地震対策が出来ている気がしない	1229859734
